x,y
0.0594,1.8155
0.2266,1.9123
0.3059,2.4
0.3995,2.17
0.5668,2.6853
0.5978,2.6675
0.5991,2.4701
0.6086,2.3364
0.6121,2.4418
0.6136,2.6186
0.6853,2.3493
0.6897,2.5972
0.7216,2.4172
0.7293,2.4413
0.7859,2.8312
0.8067,2.5223
0.8664,3.2482
0.8774,3.1076
0.9198,2.7267
1.0844,2.5897
1.1019,2.9982
1.1337,2.4139
1.1641,2.6477
1.1892,3.049
1.2153,2.5914
1.2348,3.2438
1.2352,3.0858
1.2379,3.2796
1.2794,2.9849
1.296,2.4864
1.3214,3.1673
1.4259,2.5502
1.4453,2.9239
1.4725,3.0543
1.5637,3.432
1.5674,2.7075
1.5832,2.5815
1.5894,3.2768
1.5987,3.1344
1.6477,2.6483
1.6559,3.4261
1.6753,2.5118
1.7441,3.4797
1.79,2.7181
1.8964,2.9407
1.9064,3.3359
1.9176,2.8308
1.9324,2.6126
2.102,2.6716
2.1145,2.5704
2.1277,2.6285
2.1544,2.9799
2.2516,3.1527
2.3528,2.6583
2.4783,2.6269
2.4848,2.7038
2.5179,2.6182
2.578,2.8624
2.5801,2.4519
2.6058,2.6165
2.7082,2.0548
2.7083,2.0627
2.7262,2.0083
2.7685,2.4597
2.7921,2.566
2.8885,1.9264
2.9871,1.8974
3.028,2.0357
3.0745,2.5205
3.1072,2.4066
3.1359,1.6159
3.2104,2.3391
3.3623,1.6182
3.392,1.5442
3.574,1.7647
3.6938,1.9323
3.7808,1.8967
3.7948,1.3592
3.836,1.3329
3.8981,1.7929
3.9436,1.4486
3.9607,1.3531
4.0122,1.2864
4.0286,1.611
4.052,1.2462
4.0673,1.4613
4.073,1.2483
4.0999,1.1283
4.1054,1.5013
4.1258,1.5848
4.1335,1.1153
4.1406,1.653
4.1967,0.7166
4.3553,0.9206
4.3775,1.3418
4.4346,1.4515
4.4415,1.5063
4.5476,1.2557
4.5512,1.3103
4.5834,1.1979
4.5866,1.179
4.5945,0.9783
4.7347,1.4115
4.806,1.0255
4.8376,0.9028
4.8402,0.9432
4.9604,1.4233
4.9679,0.7252
4.9894,1.2258
5.0316,1.4172
5.0882,1.239
5.1547,0.822
5.1852,1.0304
5.1978,1.1479
5.2069,0.7002
5.2789,0.8382
5.3725,1.6317
5.3855,0.7527
5.4455,0.9044
5.5133,1.1672
5.5166,0.8921
5.6321,1.2818
5.6425,1.1475
5.6942,1.3367
5.6957,1.4206
5.861,1.5229
5.8893,1.5324
5.9739,1.3092
6.0011,1.233
6.1975,2.2017
6.2122,1.9533
6.2332,2.3054
6.2338,2.1474
6.3373,2.1793
6.431,2.2313
6.4674,2.5226
6.4844,2.652
6.5577,2.3843
6.5588,2.182
6.6235,2.0406
6.7119,2.7288
6.7941,2.4928
6.7947,2.6987
6.8171,2.2381
6.9209,3.0937
7.0191,2.8649
7.171,2.9751
7.2536,2.4946
7.2588,3.2918
7.2858,3.2596
7.3979,3.2882
7.4397,2.6495
7.4434,2.7979
7.5377,2.6401
7.6243,3.3939
7.6357,2.7245
7.6707,2.5506
7.6935,2.6101
7.7942,3.3831
7.8864,3.3211
7.9573,3.0012
7.9672,2.6562
7.9679,3.4269
7.98,3.284
7.984,3.2744
8.0539,2.859
8.0877,3.4087
8.1283,2.7752
8.1327,3.214
8.1926,2.7493
8.2301,3.4085
8.2446,3.0289
8.2686,3.288
8.3252,3.2684
8.3513,2.8299
8.3887,3.3586
8.4892,2.5374
8.4987,3.2349
8.4992,3.2302
8.5031,2.6607
8.6127,2.2722
8.6964,2.6528
8.7134,2.5293
8.7175,2.9435
8.7397,2.4873
9.0493,2.2345
9.086,2.1001
9.2055,2.206
9.2949,2.4647
9.3416,2.4384
9.3844,2.2711
9.431,1.9164
9.4435,1.7771
9.4732,1.7828
9.5215,1.912
9.6214,1.8119
9.627,2.1426
9.7633,1.7057
9.8245,1.8812
9.8417,1.1241
10.1548,0.9982
10.1662,1.4991
10.2088,1.174
10.2321,0.8752
10.374,1.0343
10.3844,1.4476
10.4013,1.0357
10.5987,1.3308
10.6055,1.2901
10.6191,0.9325
10.6807,1.0681
10.7695,0.6421
10.8125,0.7131
10.8982,0.5463
10.9444,0.5036
11.1192,1.2226
11.2019,1.2036
11.2147,1.1241
11.3497,0.7683
11.3661,1.1081
11.4749,1.1652
11.5409,1.5991
11.5781,0.8479
11.6292,1.5672
11.6564,0.7866
11.7855,1.7047
11.8957,1.6415
11.9345,1.0844
11.9865,1.1892
12.0757,1.9332
12.1472,1.1689
12.1831,1.7316
12.2322,1.4913
12.2356,1.7385
12.2378,1.43
12.2454,2.0246
12.3177,1.5283
12.3183,2.2209
12.3549,1.4061
12.3568,1.4525
12.4667,2.1366
12.5123,1.6692
12.5127,1.8814
12.7629,1.7732
12.7656,2.117
12.7906,2.0144
12.8159,1.9502
12.9801,2.6605
13.1101,2.8811
13.2526,2.4139
13.2943,2.486
13.3091,2.906
13.3799,2.8948
13.3871,2.3829
13.4028,2.51
13.4212,2.4651
13.5167,2.7747
13.5793,2.8333
13.6156,2.7806
13.7063,3.1314
13.7464,3.0588
13.7914,2.8445
13.8026,3.1294
13.8263,2.6246
13.8405,2.6307
13.8716,3.38
13.8822,2.7706
13.9332,3.2126
13.934,2.864
14.0314,3.2678
14.0762,2.6852
14.2089,3.4558
14.2527,2.9683
14.358,3.1167
14.4161,3.0342
14.4852,3.1154
14.5009,2.5327
14.5264,2.4372
14.5996,2.9674
14.6059,3.2455
14.6456,3.1969
14.6462,2.7015
14.6631,2.5177
14.6933,3.0973
14.7092,3.0978
14.7899,3.2443
14.8785,2.7647
14.8995,3.1267
14.9237,2.7132
14.9316,2.6555
14.9388,2.8266
14.9451,2.4523
14.9852,2.939
15.0553,2.6334
15.0603,3.0365
15.0646,2.7892
15.2001,2.5392
15.2201,2.7518
15.2722,2.1957
15.2838,2.0368
15.305,2.8282
15.4683,1.8998
15.5379,2.1672
15.5385,2.1032
15.5433,2.2204
15.6414,1.7435
15.8185,1.5081
15.8509,1.744
15.8524,1.4277
15.8698,1.452
15.9347,1.5023
15.9669,1.8921
16.0084,1.6248
16.0209,1.6822
16.196,1.4013
16.2149,1.2765
16.2538,1.1458
16.2574,1.9181
16.3051,1.1396
16.3172,1.2583
16.3596,1.4948
16.4484,1.2647
16.5018,0.9662
16.5822,0.8435
16.6087,1.0954
16.6479,1.6707
16.8305,1.4724
16.8425,0.9053
16.9268,0.6994
16.9315,0.9845
16.9791,0.6455
16.9874,1.3231
17.0905,0.9017
17.2062,0.8074
17.2681,1.2634
17.3631,1.1441
17.5189,1.2298
17.5821,1.2633
17.6225,1.3949
17.6367,1.192
17.7,0.7024
17.7355,1.0721
17.7487,1.4939
17.7749,0.9383
17.8273,1.4579
17.8307,1.4086
17.9329,0.8804
18.0103,1.6085
18.0293,0.9094
18.038,0.9223
18.0401,0.7868
18.1802,1.2688
18.2266,1.0636
18.243,1.7713
18.2433,1.5472
18.2541,1.3363
18.3552,1.9472
18.4884,1.6011
18.5575,1.924
18.6776,1.6145
18.7229,1.7821
18.7551,2.3171
18.7611,2.373
18.8037,1.7723
18.8204,2.2614
18.964,1.8134
18.9785,1.6357
19.0082,2.4855
19.034,2.0258
19.1912,2.6481
19.2169,2.4488
19.2405,2.7982
19.3652,2.0628
19.3751,2.0536
19.3862,2.2616
19.4369,2.8162
19.4459,2.8968
19.4557,2.232
19.5824,2.3711
19.5965,2.4886
19.6252,2.9844
19.6879,3.127
19.7673,2.7045
19.8078,2.6407
19.8109,2.4073
19.836,2.4735
19.8899,3.11
19.9132,2.4982
19.9302,3.2657
19.9644,2.8954
20.0261,2.8788
20.1094,2.802
20.1138,2.5766
20.1402,3.0368
20.1825,2.9687
20.2096,3.309
20.2196,2.7642
20.2682,3.425
20.3617,3.1485
20.4145,2.9334
20.4542,2.577
20.4832,2.963
20.4843,3.1275
20.5135,2.7733
20.6647,3.3808
20.7189,2.616
20.7233,3.4287
20.8066,2.5547
20.9389,3.039
20.9784,3.2709
21.0304,2.3376
21.0613,3.1944
21.066,2.6419
21.0745,2.5729
21.1161,2.8665
21.2478,2.3992
21.2698,2.6622
21.2947,2.4527
21.3464,2.5533
21.3467,2.8492
21.3775,2.2642
21.3864,2.9179
21.3868,2.7237
21.449,2.7683
21.5058,1.9934
21.5756,2.2065
21.5816,1.9795
21.6285,2.2361
21.8327,1.8562
21.8831,2.2406
21.889,1.6312
21.9232,2.3095
22.019,2.4296
22.0633,2.4099
22.0841,1.7097
22.1318,1.6689
22.218,1.5485
22.2697,1.2688
22.2872,2.0995
22.5084,1.8196
22.5807,1.9349
22.5963,1.9214
22.7013,0.9388
22.7375,1.2522
22.7666,1.1604
22.7783,1.2602
