x,y
22.6005,0.7599
13.2823,2.6177
16.8253,1.4793
10.4881,1.5124
22.6342,1.2174
9.6991,0.3448
13.4325,1.8601
2.2229,0.918
1.8212,1.6986
13.518,1.9597
10.2929,0.5782
5.7168,2.8098
18.8977,2.3343
24.3373,2.1851
3.1916,0.275
18.1008,1.9504
17.4669,1.7296
18.7268,2.2161
15.8383,0.2011
10.9512,1.6841
23.6896,1.5728
17.6001,1.7229
15.1977,0.3885
4.9831,1.7942
23.1203,1.6678
15.4378,0.989
19.8859,2.3837
11.9179,2.8202
24.0993,2.6006
12.1098,2.1266
11.7067,1.8016
20.698,1.442
7.7263,2.1893
2.1194,0.713
3.4013,1.0867
19.1714,2.3426
22.0259,1.0526
7.8867,1.5679
19.1624,2.6245
19.8834,2.1503
17.9107,1.9062
23.8325,2.1979
17.8543,2.5004
6.9445,2.2207
22.2921,0.3814
6.4718,2.4083
11.3876,2.0161
8.2406,1.1234
20.9606,1.245
24.1285,1.7439
6.6459,2.128
4.0258,0.5737
18.6371,2.7967
10.7454,1.3227
6.5028,2.5427
0.9103,1.778
24.4921,2.5345
20.1317,1.7644
11.7862,2.382
15.2341,0.4868
8.496,0.8208
20.2582,1.7572
21.2709,0.6803
24.2237,1.8357
10.16,1.2261
6.4069,2.8228
18.0259,2.2414
13.1986,2.4493
22.0133,0.6113
6.2403,3.0126
18.4866,2.7504
11.7549,2.7869
9.6817,0.6168
18.0188,1.9286
21.4177,1.227
8.1772,1.5163
22.1138,0.4324
21.5243,0.314
22.8598,1.3883
12.5241,2.1483
5.3109,2.2094
5.3492,2.4276
22.1408,0.2291
1.1005,2.2897
9.7868,1.0614
7.894,1.1011
22.6258,0.6571
9.9249,0.7863
18.1957,1.9711
21.2964,1.2777
0.6669,2.5949
19.3938,2.2567
10.6599,1.5735
24.7654,2.3615
8.4347,1.357
21.6313,1.139
5.5622,2.524
21.9653,0.4983
1.2966,1.9223
16.3497,0.6482
13.0332,2.969
11.2774,2.1809
9.4098,0.5949
17.648,2.2485
3.8668,0.4712
0.6782,2.6267
14.6814,1.14
0.769,2.6099
18.7878,2.5013
10.3962,1.1079
8.7589,0.7933
19.049,2.9005
21.1027,0.5462
6.7276,2.7626
23.2257,1.2615
11.0139,1.6253
23.3777,1.2779
21.6636,0.7366
23.3424,1.1506
22.3155,0.1808
9.863,1.1792
7.0926,1.8945
17.6613,2.0089
14.3522,1.5515
19.1384,2.7533
4.0282,1.4644
5.7046,2.398
5.6966,1.9948
19.5157,1.9927
19.3809,2.4485
6.2934,2.2642
7.1984,1.9582
7.3813,1.8068
22.8829,1.2603
7.2719,2.1384
5.5794,2.0078
19.5972,2.0133
15.4354,0.1786
21.6913,0.9723
23.6244,1.6333
3.3822,0.2393
8.5885,1.0679
2.6756,0.7428
22.8306,0.5768
2.7794,0.9974
23.0822,1.0212
10.453,1.0101
15.1938,0.6528
15.603,0.6213
9.0252,0.9767
7.8592,1.419
15.6143,0.3005
1.7452,1.7351
13.7436,1.9757
0.8095,2.3808
